date,count,uniques
2026-07-17,53,36
2026-07-18,6,3
2026-07-19,1,1
2026-07-20,2,1
2026-07-21,0,0
2026-07-22,1,1
2026-07-23,3,2
2026-07-24,1,1
2026-07-25,1,1
2026-07-26,0,0
2026-07-27,2,1
2026-07-28,0,0
2026-07-29,0,0
2026-07-30,0,0
2026-07-31,9,7
2026-08-01,26,17
2026-08-02,9,7
2026-08-03,13,8
2026-08-04,1,1
2026-08-05,15,10
2026-08-06,19,13
2026-08-07,1,1
2026-08-08,22,9
2026-08-09,2,2
2026-08-10,16,12
